166	164	10.4403
163	167	14.1421
161	163	15.2643
90	91	15.6525
171	173	15.8114
169	170	16.1245
160	162	16.4012
166	169	16.4924
169	171	16.5529
46	44	16.6433
99	100	17.0294
65	87	17.2047
66	71	17.72
87	86	17.8045
58	73	18
66	63	18.0278
158	159	18.0278
69	70	18.1108
88	90	18.2483
90	89	18.2483
167	168	18.3576
159	160	18.3576
72	64	18.4391
53	41	18.6011
97	98	18.6011
9	5	18.868
61	62	19.0263
171	165	19.0263
63	45	19.105
64	65	19.2354
81	82	19.6977
62	66	19.6977
69	61	19.7231
44	55	19.8494
66	72	20
13	10	20
130	140	20.1246
142	141	20.2237
64	47	20.2485
57	58	20.2485
110	111	20.2485
128	129	20.2485
34	38	20.3961
83	30	20.5183
138	139	20.5913
85	84	20.6155
27	26	20.8087
124	126	20.8806
163	166	20.8806
93	92	21.0238
26	17	21.0238
91	93	21.0238
123	128	21.0238
76	77	21.095
25	27	21.095
149	144	21.095
93	95	21.095
53	59	21.095
68	67	21.2132
74	37	21.2132
96	94	21.2603
111	114	21.3776
112	31	21.4009
142	151	21.4009
60	68	21.4709
141	131	21.4709
157	148	21.5407
53	42	21.6333
52	53	21.8403
143	142	21.9317
128	136	21.9317
54	60	22.0227
42	54	22.0227
116	122	22.0227
140	143	22.0227
118	120	22.1359
95	99	22.1359
45	46	22.2036
85	110	22.2036
171	172	22.3607
158	161	22.561
24	23	22.561
127	125	22.6274
155	156	22.6716
75	76	22.6716
60	69	22.8035
10	9	22.8035
129	138	22.8035
77	78	22.8254
54	43	22.8254
82	85	22.8254
99	104	23.0868
147	157	23.0868
74	79	23.1948
0	6	23.2594
139	130	23.3452
81	80	23.3452
104	105	23.3452
27	81	23.4307
145	134	23.6008
102	97	23.7065
27	74	23.7065
79	75	23.7065
58	52	23.7065
141	132	24.0832
136	137	24.0832
87	88	24.1868
153	154	24.1868
12	13	24.1868
146	153	24.4131
18	28	24.4131
13	25	24.5153
102	103	24.5967
121	116	24.5967
29	19	24.6982
153	155	25
52	40	25
97	96	25
109	83	25.0599
144	133	25.0799
57	51	25.0799
110	109	25.0799
106	107	25.0799
83	29	25.1794
113	112	25.2982
56	57	25.318
56	49	25.318
125	124	25.318
37	24	25.318
114	113	25.4558
148	108	25.4951
135	145	25.5539
136	127	25.6125
119	121	25.7099
154	152	25.9615
0	1	26.0768
106	135	26.0768
32	34	26.1725
100	101	26.2488
11	12	26.4008
122	123	26.4197
145	146	26.4764
8	11	26.5707
14	21	26.6271
21	20	26.6833
76	50	26.9072
114	115	26.9258
119	118	27.0185
107	102	27.074
6	2	27.074
19	18	27.1662
78	56	27.4591
101	106	27.4591
15	14	27.6586
150	149	27.6586
114	119	27.8029
145	150	28.0179
21	22	28.0713
6	15	28.2312
146	147	28.2843
118	117	28.3019
50	36	28.6356
8	4	28.6531
34	35	29.0172
20	32	29.1204
32	33	29.1548
56	48	29.4109
48	39	29.5296
8	3	29.6816
7	8	30.1496
1	7	30.2324
11	16	30.4631
78	158	63.8201
