53	54	0.403113
15	14	0.430117
15	16	0.447213
14	18	0.447214
16	13	0.460977
53	50	0.460977
51	53	0.460978
51	52	0.460978
12	15	0.4717
16	17	0.474341
53	55	0.55
12	6	0.680074
24	27	0.7
50	46	0.701783
46	45	0.707107
50	49	0.715892
8	7	0.751665
7	12	0.756637
17	22	0.776209
44	51	0.801561
55	43	0.806226
22	23	0.813941
49	47	0.851469
18	11	0.851469
5	25	0.854401
6	5	0.874643
20	21	0.88459
57	58	0.890225
56	42	0.894427
0	9	0.901388
25	26	0.943398
25	24	0.955249
9	10	0.960469
33	29	0.965661
37	44	0.970824
55	57	0.984885
47	32	0.986154
1	2	0.992471
57	56	0.992471
9	8	0.992472
5	3	1.04043
22	20	1.04043
7	1	1.05475
46	33	1.07703
57	61	1.07703
43	39	1.10454
11	19	1.1068
5	4	1.12361
61	62	1.15
47	48	1.15434
61	60	1.17047
45	34	1.19269
39	38	1.20416
32	30	1.20416
34	35	1.21655
32	31	1.21758
29	28	1.25399
42	41	1.2855
36	37	1.30096
58	59	1.32382
42	40	1.39284
3	36	4.15
